kategoria_bdot,funkcja_ogolna_budynku,funkcja_szczegolowa_budynku,building,amenity,man_made,leisure,historic,tourism
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,inny urząd administracji publicznej,yes,,,,,
budynki przemysłowe,budynki przemysłowe,stacja paliw,yes,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,apteka,yes,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,pawilon handlowo-usługowy,retail,,,,,
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,budynek wielorodzinny,apartments,,,,,
budynki gospodarstw rolnych,"","",yes,,,,,
budynki przemysłowe,budynki przemysłowe,dom weselny,yes,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",dom weselny,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,garaż,garage,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,ośrodek szkoleniowo wypoczynkowy,yes,,,,,guest_house
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,budynek o dwóch mieszkaniach,farmhouse,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,hotel robotniczy,hotel,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",młyn,yes,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,leśniczówka,yes,,,,,
budynki biurowe,budynki biurowe,restauracja,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,bank,yes,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,"klub, dyskoteka",yes,,,,,
budynki o trzech i więcej mieszkaniach,budynki o trzech i więcej mieszkaniach,budynek o dwóch mieszkaniach,house,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,policja,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,sąd,government,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,sztuczne lodowisko,yes,,,,,
